NSSD_Dirname	NSSD_Experiment_Num	NSSD_Proc_Data_Num	HMDB_Name	Normal_Urine_Name	Normal_Urine_Mean	Normal_Urine_Std	HMDB_ID
NMND	40	1	1-Methylnicotinamide	1-Methylnicotinamide	80.5	38.8	HMDB00699
2_hydroxybutyrate	13	1	2-Hydroxybutyric acid	2-Hydroxybutyric acid	32.27	16.55	HMDB00008
acetate	23	1	Acetic acid	Acetic acid	200	50	HMDB00042
Phenylacetate	7	1	Benzeneacetic acid	Benzeneacetic acid	55	6	HMDB00209
Betaine	7	1	Betaine	Betaine	245.52	93.19	HMDB00043
n-butyrate	7	1	Butyric acid	Butyric acid	1.14	0.11	HMDB00039
L-carnosine	7	1	Carnosine	Carnosine	46.2	35.64	HMDB00033
cis-aconitic_acid	7	1	cis-Aconitic acid	cis-Aconitic acid	393	259	HMDB00072
Citric_acid	7	1	Citric acid	Citric acid	2022	1081	HMDB00094
citrulline	21	1	Citrulline	Citrulline	14.26	6.89	HMDB00904
Creatine	7	1	Creatine	Creatine	343	303	HMDB00064
Creatinine	7	1	Creatinine	Creatinine	13200	4100	HMDB00562
Arabitol	7	1	D-Arabitol	D-Arabitol	250.8	79.2	HMDB00568
2_deoxyadenosine	7	1	Deoxyadenosine	Deoxyadenosine	2.9	1.19	HMDB00101
2_deoxycytidine	7	1	Deoxycytidine	Deoxycytidine	8.58	3.56	HMDB00014
beta-D-fructose	7	1	D-Fructose	D-Fructose	85	46	HMDB00660
Galactose	13	1	D-Galactose	D-Galactose	58.08	409.2	HMDB00143
Dimethylamine	7	1	Dimethylamine	Dimethylamine	330	39.6	HMDB00087
Dimethylglycine	7	1	Dimethylglycine	Dimethylglycine	81.84	35.2	HMDB00092
Formate	7	1	Formic acid	Formic acid	583	301	HMDB00142
Glycine	7	1	Glycine	Glycine	1029	440	HMDB00123
glycolic_acid	7	1	Glycolic acid	Glycolic acid	752	304	HMDB00115
guanidoacetic_acid	7	1	Guanidoacetic acid	Guanidoacetic acid	300	132	HMDB00128
Hippuric_acid	22	1	Hippuric acid	Hippuric acid	2640	1300	HMDB00714
Isocitrate	7	1	Isocitric acid	Isocitric acid	250	124	HMDB00193
L-alanine	7	1	L-Alanine	L-Alanine	290	73	HMDB00161
L-Glutamic_acid	7	1	L-Glutamic acid	L-Glutamic acid	22.59	9.35	HMDB00148
Glutamine	7	1	L-Glutamine	L-Glutamine	485.8	147	HMDB00641
Histidine	7	1	L-Histidine	L-Histidine	948	371	HMDB00177
Lactate	7	1	L-Lactic acid	L-Lactic acid	441	127	HMDB00190
lysine	7	1	L-Lysine	L-Lysine	422.4	356.4	HMDB00182
Malic_acid	13	1	L-Malic acid	L-Malic acid	34.32	34.32	HMDB00156
Methionine	13	1	L-Methionine	L-Methionine	30	10	HMDB00696
L_Tyrosine	7	1	L-Tyrosine	L-Tyrosine	361.02	184.54	HMDB00158
N-Acetyl-L-aspartic_acid	7	1	N-Acetyl-L-aspartic acid	N-Acetyl-L-aspartic acid	5.28	5.68	HMDB00812
2-oxoglutarate	7	1	Oxoglutaric acid	Oxoglutaric acid	77	46	HMDB00208
p-cresol_sulfate	1	1	p-Cresol sulfate	p-Cresol sulfate	300	100	HMDB11635
p-Hydroxyphenylacetic acid	7	1	p-Hydroxyphenylacetic acid	p-Hydroxyphenylacetic acid	92.4	27.75	HMDB00020
L-serine	7	1	Serine	Serine	396	179.52	HMDB00187
succinic_acid	26	1	Succinic acid	Succinic acid	166.32	160.12	HMDB00254
Taurine	7	1	Taurine	Taurine	834.24	554.4	HMDB00251
Threonic_acid	7	1	Threonic acid	Threonic acid	132	46.2	HMDB00943
N-methylnicotinic_acid	100	1	Trigonelline	Trigonelline	223	22.3	HMDB00875
Trimethylamine	7	1	Trimethylamine	Trimethylamine	101.6	98	HMDB00906
TMAO	37	1	Trimethylamine N-oxide	Trimethylamine N-oxide	982.08	1011.12	HMDB00925
phenylacetylglutamine	2	1	Alpha-N-Phenylacetyl-L-	phenylacetylglutamine	937.2	79.2	HMDB06344
Isoleucine	13	1	L-Isoleucine	Isoleucine	23.8	6.6	HMDB00172
leucine	7	1	L-Leucine	Leucine	39.6	9.9	HMDB00687
